pond_id,region,event_date,event_type,logged_by,lifecycle_stage,species,species_ratio,target_weight_grams,average_weight_grams,intended_stocking_density_per_acre,actual_stocking_density_per_acre,fish_harvested_kg,fish_remaining_individuals,harvest_reason,pond_preparation_done
pond_7472ede8,West Godavari,2025-05-06,Harvest,Praveen,Breed-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,250.0,,,,0,Planned harvest,
pond_f6d09111,West Godavari,2025-05-06,Harvest,Praveen,Nursery,"Catla (Catla catla), Rohu (Labeo rohita)",,,50.0,,,,0,Planned harvest,
pond_cf53cb6f,Nellore,2025-05-04,Stocking,Chaitanya,Grow-out,Roopchand,10,1000.0,150.0,2920,2920.0,,,,True
pond_c295a799,West Godavari,2025-05-02,Partial harvest,Praveen,Nursery,"Catla (Catla catla), Rohu (Labeo rohita)",,,80.0,,,,400000,Planned harvest,
pond_2e0e9d1a,West Godavari,2025-05-02,Partial harvest,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,1000.0,,,15000,10000,Planned harvest,
pond_20c3d3aa,West Godavari,2025-05-02,Partial harvest,Praveen,Breed-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,200.0,,,,60000,Planned harvest,
pond_eb2903bd,West Godavari,2025-05-01,Harvest,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,1000.0,,,50000,0,Planned harvest,
pond_ca25b296,West Godavari,2025-04-30,Partial harvest,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,1000.0,,,13000,7000,Planned harvest,
pond_46bbdb3a,West Godavari,2025-04-30,Partial harvest,Praveen,Breed-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,250.0,,,,34000,Planned harvest,
pond_d7feb952,West Godavari,2025-04-30,Stocking,Praveen,Breed-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,250.0,40.0,9524,9524.0,,,,False
pond_f6d09111,West Godavari,2025-04-30,Partial harvest,Praveen,Nursery,"Catla (Catla catla), Rohu (Labeo rohita)",,,40.0,,,,210000,Planned harvest,
pond_02b8575a,West Godavari,2025-04-30,Stocking,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1200.0,300.0,2227,2227.0,,,,False
pond_fb9877ae,West Godavari,2025-04-27,Stocking,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1500.0,200.0,1529,1529.0,,,,False
pond_680c8104,West Godavari,2025-04-26,Harvest,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,1000.0,,,65000,0,Planned harvest,
pond_439eae87,West Godavari,2025-04-26,Partial harvest,Praveen,Breed-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,300.0,,,,64000,Planned harvest,
pond_166e730f,West Godavari,2025-04-26,Stocking,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1500.0,300.0,1534,1534.0,,,,False
pond_9a0003fb,West Godavari,2025-04-25,Stocking,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1000.0,250.0,2957,2957.0,,,,False
pond_8fd1554c,West Godavari,2025-04-25,Harvest,Praveen,Breed-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,310.0,,,9500,0,Planned harvest,
pond_51789df8,West Godavari,2025-04-25,Harvest,Praveen,Breed-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,320.0,,,24000,0,Planned harvest,
pond_5e81f369,West Godavari,2025-04-25,Harvest,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,1400.0,,,84000,0,Planned harvest,
pond_02b8575a,West Godavari,2025-04-25,Harvest,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,1500.0,,,94000,0,Planned harvest,
pond_c30c0534,Nellore,2025-04-24,Stocking,Chaitanya,Grow-out,Rohu (Labeo rohita),10,1000.0,100.0,2833,2833.0,,,,True
pond_fb9877ae,West Godavari,2025-04-23,Harvest,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,1500.0,,,45000,0,Planned harvest,
pond_2fd8194c,West Godavari,2025-04-22,Harvest,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,1200.0,,,96000,0,Planned harvest,
pond_c7407a79,West Godavari,2025-04-21,Harvest,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,1000.0,,,55000,0,Planned harvest,
pond_edb67ba0,Nellore,2025-04-20,Harvest,Chaitanya,Grow-out,Roopchand,,,960.0,,,2400,0,Planned harvest,
pond_690fd7d6,West Godavari,2025-04-20,Stocking,Praveen,Breed-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,250.0,50.0,11852,11852.0,,,,False
pond_bed02137,West Godavari,2025-04-20,Harvest,Praveen,Breed-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,200.0,,,,0,Planned harvest,
pond_27785ee9,West Godavari,2025-04-20,Harvest,Praveen,Rearing,"Catla (Catla catla), Rohu (Labeo rohita)",,,50.0,,,,0,Planned harvest,
pond_3d8cae54,West Godavari,2025-04-18,Harvest,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,1200.0,,,81000,0,Planned harvest,
pond_41a4dead,West Godavari,2025-04-17,Stocking,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1200.0,250.0,2180,2180.0,,,,False
pond_aae69640,Nellore,2025-04-17,Harvest,Chaitanya,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,870.0,,,11300,0,Planned harvest,
pond_da9e5287,Nellore,2025-04-16,Harvest,Chaitanya,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,753.0,,,1883,0,Planned harvest,
pond_166e730f,West Godavari,2025-04-16,Harvest,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,2000.0,,,105000,0,Planned harvest,
pond_ba85724b,Nellore,2025-04-16,Stocking,Chaitanya,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1000.0,350.0,1737,1737.0,,,,True
pond_f1f0953d,West Godavari,2025-04-15,Harvest,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,1000.0,,,84000,0,Planned harvest,
pond_5557d8af,West Godavari,2025-04-15,Harvest,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,1100.0,,,45000,0,Planned harvest,
pond_90dd090b,West Godavari,2025-04-15,Stocking,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1000.0,200.0,2963,2963.0,,,,False
pond_690fd7d6,West Godavari,2025-04-15,Harvest,Praveen,Breed-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,200.0,,,,0,Planned harvest,
pond_6a5ab9d0,West Godavari,2025-04-13,Stocking,Praveen,Rearing,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,100.0,10.0,34483,34483.0,,,,False
pond_2855b437,West Godavari,2025-04-13,Stocking,Praveen,Breed-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,250.0,30.0,7222,7222.0,,,,False
pond_868241e3,West Godavari,2025-04-13,Stocking,Praveen,Breed-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,250.0,40.0,6000,6000.0,,,,False
pond_0b972252,Nellore,2025-04-13,Stocking,Chaitanya,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1000.0,350.0,3026,3026.0,,,,True
pond_a72a9ad7,West Godavari,2025-04-11,Stocking,Praveen,Breed-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,250.0,40.0,5263,5263.0,,,,False
pond_07ed9225,Nellore,2025-04-11,Harvest,Chaitanya,Nursery,"Catla (Catla catla), Rohu (Labeo rohita)",,,50.0,,,1900,0,Planned harvest,
pond_a2a9984f,Nellore,2025-04-11,Harvest,Chaitanya,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,666.0,,,8000,0,Planned harvest,
pond_3ed934a6,West Godavari,2025-04-10,Harvest,Praveen,Nursery,Roopchand,,,100.0,,,,0,Planned harvest,
pond_522cd38a,West Godavari,2025-04-10,Harvest,Praveen,Breed-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,350.0,,,,0,Planned harvest,
pond_90dd090b,West Godavari,2025-04-10,Harvest,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,600.0,,,,0,Planned harvest,
pond_d81b6f9f,West Godavari,2025-04-09,Stocking,Praveen,Breed-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,150.0,10.0,10588,10588.0,,,,False
pond_2ec8980d,Nellore,2025-04-09,Stocking,Chaitanya,Grow-out,Roopchand,10,1000.0,150.0,2941,2451.0,,,,True
pond_1dbb9f8d,Nellore,2025-04-09,Harvest,Chaitanya,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,900.0,,,2700,0,Planned harvest,
pond_9a0003fb,West Godavari,2025-04-08,Harvest,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,1200.0,,,76000,0,Planned harvest,
pond_aabd8703,Nellore,2025-04-07,Stocking,Chaitanya,Grow-out,Roopchand,10,1000.0,250.0,2875,2222.0,,,,True
pond_f18f1d57,Nellore,2025-04-07,Harvest,Chaitanya,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,890.0,,,4900,0,Planned harvest,
pond_b296eebf,West Godavari,2025-04-07,Partial harvest,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,1200.0,,,39000,64000,Planned harvest,
pond_ee1be8cb,West Godavari,2025-04-05,Harvest,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,1100.0,,,120000,0,Planned harvest,
pond_4fc9a5af,Nellore,2025-04-03,Harvest,Chaitanya,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,852.0,,,2130,0,Planned harvest,
pond_1d648007,Nellore,2025-04-03,Harvest,Chaitanya,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,760.0,,,1558,0,Planned harvest,
pond_f5213f43,West Godavari,2025-04-03,Stocking,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1500.0,250.0,2609,2609.0,,,,False
pond_2e1713ae,Nellore,2025-04-02,Stocking,Chaitanya,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1000.0,300.0,2745,2745.0,,,,True
pond_aef38b14,Nellore,2025-04-02,Stocking,Chaitanya,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1000.0,250.0,3243,3243.0,,,,True
pond_d7feb952,West Godavari,2025-03-31,Harvest,Praveen,Breed-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,300.0,,,,0,Planned harvest,
pond_0b61fd61,West Godavari,2025-03-31,Stocking,Praveen,Breed-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,300.0,50.0,6111,6111.0,,,,False
pond_f9e817c6,West Godavari,2025-03-30,Harvest,Praveen,Breed-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,300.0,,,,0,Planned harvest,
pond_d01750af,Nellore,2025-03-29,Stocking,Chaitanya,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1000.0,100.0,3070,3070.0,,,,True
pond_0b61fd61,West Godavari,2025-03-29,Harvest,Praveen,Breed-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,250.0,,,,0,Planned harvest,
pond_4cef5872,Nellore,2025-03-28,Harvest,Chaitanya,Grow-out,Roopchand,,,975.0,,,7800,0,Planned harvest,
pond_09f0cd92,Nellore,2025-03-27,Stocking,Chaitanya,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1000.0,150.0,3045,3045.0,,,,True
pond_7fc56232,Nellore,2025-03-27,Stocking,Chaitanya,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1000.0,150.0,3241,3241.0,,,,True
pond_7fd480e0,West Godavari,2025-03-26,Partial stocking,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1000.0,550.0,3240,3240.0,,,,False
pond_d2e83c32,West Godavari,2025-03-21,Stocking,Praveen,Rearing,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,50.0,10.0,62500,62500.0,,,,False
pond_b9aedd06,West Godavari,2025-03-20,Stocking,Praveen,Rearing,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,100.0,20.0,21429,21429.0,,,,False
pond_cf53cb6f,Nellore,2025-03-20,Harvest,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,900.0,,,9900,0,Planned harvest,
pond_6fa8a2a5,West Godavari,2025-03-18,Stocking,Praveen,Rearing,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,80.0,10.0,27778,27778.0,,,,False
pond_41a4dead,West Godavari,2025-03-17,Harvest,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,1100.0,,,100000,0,Planned harvest,
pond_b3126696,West Godavari,2025-03-16,Stocking,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1000.0,250.0,2536,2536.0,,,,False
pond_89aabef8,West Godavari,2025-03-16,Harvest,Praveen,Breed-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,250.0,,,,0,Planned harvest,
pond_da3b5851,Nellore,2025-03-15,Harvest,Chaitanya,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,640.0,,,3200,0,,
pond_c8879b29,West Godavari,2025-03-15,Stocking,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1000.0,200.0,2684,2684.0,,,,False
pond_e5db19e4,West Godavari,2025-03-14,Stocking,Praveen,Breed-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,350.0,100.0,10000,10000.0,,,,True
pond_a1a3333d,West Godavari,2025-03-13,Stocking,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1000.0,250.0,1710,1710.0,,,,False
pond_a80e42b6,West Godavari,2025-03-13,Harvest,Praveen,Breed-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,230.0,,,7000,0,Planned harvest,
pond_f5213f43,West Godavari,2025-03-12,Harvest,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,1200.0,,,46000,0,Planned harvest,
pond_7c2f9913,West Godavari,2025-03-11,Harvest,Praveen,Breed-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,100.0,,,,0,Planned harvest,
pond_518460bf,West Godavari,2025-03-11,Partial stocking,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1000.0,100.0,2222,2222.0,,,,False
pond_304a9d41,West Godavari,2025-03-10,Stocking,Praveen,Rearing,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,50.0,10.0,62500,62500.0,,,,False
pond_74ea5a99,West Godavari,2025-03-10,Stocking,Praveen,Breed-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,350.0,50.0,7692,7692.0,,,,False
pond_dc98e449,West Godavari,2025-03-10,Stocking,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1000.0,200.0,2966,2966.0,,,,False
pond_f569e116,Nellore,2025-03-08,Harvest,Chaitanya,Grow-out,Roopchand,,,984.0,,,6400,0,Planned harvest,
pond_74ea5a99,West Godavari,2025-03-08,Harvest,Praveen,Breed-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,500.0,,,,0,Planned harvest,
pond_c8879b29,West Godavari,2025-03-07,Harvest,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,1250.0,,,102000,0,Planned harvest,
pond_b3126696,West Godavari,2025-03-07,Harvest,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,1400.0,,,62000,0,Planned harvest,
pond_08867f11,West Godavari,2025-03-04,Stocking,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1200.0,300.0,1791,1791.0,,,,False
pond_f69b5a88,West Godavari,2025-03-03,Harvest,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,1000.0,,,45000,0,Planned harvest,
pond_adeaf27b,West Godavari,2025-03-03,Stocking,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1500.0,300.0,1655,1655.0,,,,False
pond_95fa2b00,Nellore,2025-03-02,Stocking,Chaitanya,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,800.0,40.0,3472,3472.0,,,,True
pond_299152dc,Nellore,2025-03-01,Stocking,Chaitanya,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,800.0,50.0,3333,3333.0,,,,True
pond_bd0e0d33,West Godavari,2025-03-01,Partial harvest,Praveen,Breed-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,410.0,,,2500,42000,Planned harvest,
pond_08867f11,West Godavari,2025-02-28,Harvest,Praveen,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,1400.0,,,99500,0,Planned harvest,
pond_dc98e449,West Godavari,2025-02-28,Harvest,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,1200.0,,,51000,0,Planned harvest,
pond_b7082dc1,West Godavari,2025-02-27,Stocking,Praveen,Breed-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,200.0,40.0,16500,16500.0,,,,True
pond_e95651d9,West Godavari,2025-02-25,Stocking,Praveen,Rearing,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,50.0,5.0,71429,71429.0,,,,False
pond_917e0459,West Godavari,2025-02-25,Stocking,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1000.0,350.0,1515,1515.0,,,,True
pond_adeaf27b,West Godavari,2025-02-25,Harvest,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,1500.0,,,88000,0,Planned harvest,
pond_c2458988,West Godavari,2025-02-24,Stocking,Praveen,Breed-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,350.0,30.0,6936,6936.0,,,,False
pond_7ef7fef9,West Godavari,2025-02-22,Stocking,Praveen,Breed-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,250.0,50.0,8130,8130.0,,,,False
pond_aae02d77,West Godavari,2025-02-22,Stocking,Praveen,Breed-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,500.0,150.0,5625,5625.0,,,,False
pond_47f64c85,West Godavari,2025-02-21,Stocking,Praveen,Breed-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,350.0,50.0,5000,5000.0,,,,False
pond_2ec8980d,Nellore,2025-02-20,Harvest,Chaitanya,Grow-out,Roopchand,,,941.0,,,11300,0,Planned harvest,
pond_518460bf,West Godavari,2025-02-20,Partial harvest,Praveen,Breed-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,350.0,,,18000,20000,Planned harvest,
pond_9252e874,West Godavari,2025-02-20,Stocking,Praveen,Breed-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,350.0,100.0,5435,5435.0,,,,False
pond_5f9e292b,West Godavari,2025-02-20,Stocking,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1200.0,200.0,2558,2558.0,,,,False
pond_c2dd8e7c,West Godavari,2025-02-15,Stocking,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1200.0,250.0,1818,1818.0,,,,True
pond_60e4cad8,West Godavari,2025-02-14,Stocking,Praveen,Breed-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,350.0,50.0,6190,6190.0,,,,False
pond_b36b9eee,West Godavari,2025-02-13,Stocking,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1000.0,200.0,1667,1667.0,,,,False
pond_d01750af,Nellore,2025-02-12,Harvest,Chaitanya,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,835.0,,,11700,0,Planned harvest,
pond_dd9c12ef,West Godavari,2025-02-12,Harvest,Praveen,Breed-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,200.0,,,7000,0,Planned harvest,
pond_e797c43a,West Godavari,2025-02-11,Stocking,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1000.0,350.0,2556,2556.0,,,,False
pond_e25b2cfc,West Godavari,2025-02-11,Stocking,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1000.0,350.0,2363,2363.0,,,,False
pond_dda2c111,Nellore,2025-02-10,Harvest,Chaitanya,Breed-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,35.0,,,5350,0,Planned harvest,
pond_a6578b7f,West Godavari,2025-02-10,Stocking,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1200.0,350.0,2226,2226.0,,,,True
pond_5f9e292b,West Godavari,2025-02-09,Harvest,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,1400.0,,,111000,0,Planned harvest,
pond_2e1713ae,Nellore,2025-02-08,Harvest,Chaitanya,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,1066.0,,,11200,0,Planned harvest,
pond_a59c9ac7,West Godavari,2025-02-08,Stocking,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1200.0,350.0,2130,2130.0,,,,True
pond_984a8534,West Godavari,2025-02-08,Harvest,Praveen,Breed-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,250.0,,,24000,0,Planned harvest,
pond_ef747ffa,West Godavari,2025-02-08,Harvest,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,550.0,,,55000,0,Planned harvest,
pond_6772b310,West Godavari,2025-02-07,Stocking,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1000.0,250.0,2444,2444.0,,,,False
pond_f9218e7b,West Godavari,2025-02-06,Partial harvest,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,1400.0,,,35000,20000,Planned harvest,
pond_9252e874,West Godavari,2025-02-06,Harvest,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,1500.0,,,30000,0,Planned harvest,
pond_2e0e9d1a,West Godavari,2025-02-05,Stocking,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1000.0,400.0,2787,2787.0,,,,False
pond_ca25b296,West Godavari,2025-02-05,Stocking,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1000.0,500.0,2561,2561.0,,,,False
pond_8a8b9562,West Godavari,2025-02-04,Partial harvest,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,1100.0,,,14000,17000,Planned harvest,
pond_c2458988,West Godavari,2025-02-03,Harvest,Praveen,Breed-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,250.0,,,35000,0,Planned harvest,
pond_bd0f4fd7,Nellore,2025-02-03,Partial harvest,Chaitanya,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,800.0,,,300,1825,Planned harvest,
pond_6772b310,West Godavari,2025-02-02,Harvest,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,1400.0,,,34000,0,Planned harvest,
pond_f5ca6183,West Godavari,2025-02-02,Stocking,Praveen,Breed-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,250.0,50.0,10390,10390.0,,,,False
pond_5f07dc7a,West Godavari,2025-02-01,Stocking,Praveen,Breed-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,350.0,50.0,7429,7429.0,,,,False
pond_d5629838,West Godavari,2025-01-30,Stocking,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1500.0,250.0,1672,1672.0,,,,True
pond_8e6046b4,West Godavari,2025-01-29,Partial harvest,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,1300.0,,,55000,62000,Planned harvest,
pond_c2dd8e7c,West Godavari,2025-01-29,Harvest,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,1000.0,,,130000,0,Planned harvest,
pond_87edd7c9,West Godavari,2025-01-28,Stocking,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1200.0,300.0,2304,2304.0,,,,True
pond_ec1ee982,Nellore,2025-01-28,Harvest,Chaitanya,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,750.0,,,1500,0,Planned harvest,
pond_f86d5d94,West Godavari,2025-01-27,Stocking,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1000.0,350.0,2703,2703.0,,,,True
pond_5773604b,Nellore,2025-01-26,Harvest,Chaitanya,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,696.0,,,3900,0,Planned harvest,
pond_a5c0fc15,West Godavari,2025-01-26,Harvest,Praveen,Breed-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,450.0,,,30000,0,Planned harvest,
pond_95fa2b00,Nellore,2025-01-25,Harvest,Chaitanya,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,588.0,,,1530,0,Planned harvest,
pond_a0b42194,West Godavari,2025-01-24,Stocking,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1200.0,350.0,2462,2462.0,,,,True
pond_917e0459,West Godavari,2025-01-23,Harvest,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,550.0,,,10000,0,Planned harvest,
pond_d5629838,West Godavari,2025-01-23,Harvest,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,1700.0,,,93000,0,Planned harvest,
pond_f1f0953d,West Godavari,2025-01-22,Stocking,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1500.0,300.0,1995,1995.0,,,,False
pond_ca25b296,West Godavari,2025-01-22,Harvest,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,1300.0,,,19000,0,Planned harvest,
pond_09f0cd92,Nellore,2025-01-20,Partial harvest,Chaitanya,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,842.0,,,16000,0,Planned harvest,
pond_0a3f9f76,West Godavari,2025-01-18,Stocking,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1000.0,150.0,2286,2286.0,,,,False
pond_7fc56232,Nellore,2025-01-18,Harvest,Chaitanya,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,928.0,,,13000,0,Planned harvest,
pond_8fd1554c,West Godavari,2025-01-18,Stocking,Praveen,Breed-out,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,350.0,50.0,6452,6452.0,,,,False
pond_f1f0953d,West Godavari,2025-01-15,Harvest,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,1100.0,,,96000,0,Planned harvest,
pond_aef38b14,Nellore,2025-01-15,Harvest,Chaitanya,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,850.0,,,17000,0,Planned harvest,
pond_f5ca6183,West Godavari,2025-01-15,Harvest,Praveen,Breed-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,200.0,,,15000,0,Planned harvest,
pond_8a45828a,West Godavari,2025-01-11,Harvest,Praveen,Breed-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,100.0,,,,0,Planned harvest,
pond_74f8f457,West Godavari,2025-01-10,Harvest,Praveen,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,1100.0,,,20000,0,Planned harvest,
